id_muestra,titulo,anio_estreno,generos,pais_principal,idioma,popularidad,promedio_votos,votos
1241934,Mob Cops,2025,Drama,Estados Unidos,Ingles,6.559,0.0,0
1437273,Manidham,2025,Drama,India,Tamil,6.549,0.0,0
1439367,Asthram – The Secret,2025,Suspenso,India,Tamil,6.535,0.0,0
1405973,Frozempic,2025,Sin informacion,Sin informacion,Ingles,6.535,0.0,0
804862,Bring Them Down,2025,Drama,Belgica,Ingles,6.52,8.0,3
804862,Bring Them Down,2025,Suspenso,Belgica,Ingles,6.52,8.0,3
848826,Vodi,2025,Terror,Sin informacion,Ingles,6.509,0.0,0
848826,Vodi,2025,Drama,Sin informacion,Ingles,6.509,0.0,0
848826,Vodi,2025,Animacion,Sin informacion,Ingles,6.509,0.0,0
1327148,Misie,2025,Comedia,Polonia,Polaco,6.505,0.0,0
1327148,Misie,2025,Romance,Polonia,Polaco,6.505,0.0,0
1416798,7 Empresses,2025,Drama,Corea del Sur,Coreano,6.49,0.0,0
1416798,7 Empresses,2025,Comedia,Corea del Sur,Coreano,6.49,0.0,0
1400510,The Man Who Wanted Everything,2025,Romance,Estados Unidos,Ingles,6.485,0.0,0
1400510,The Man Who Wanted Everything,2025,Comedia,Estados Unidos,Ingles,6.485,0.0,0
1400510,The Man Who Wanted Everything,2025,Musica,Estados Unidos,Ingles,6.485,0.0,0
1303498,$POSITIONS,2025,Drama,Estados Unidos,Ingles,6.485,0.0,0
1425474,Beat the Lotto,2025,Documental,Irlanda,Ingles,6.477,0.0,0
1297446,Slanted,2025,Comedia,Estados Unidos,Ingles,6.471,0.0,0
1297446,Slanted,2025,Suspenso,Estados Unidos,Ingles,6.471,0.0,0
1297446,Slanted,2025,Ciencia Ficcion,Estados Unidos,Ingles,6.471,0.0,0
1271981,Last Breath,2025,Drama,Francia,Frances,6.467,5.875,8
1422627,Snow Leopard Sisters,2025,Documental,Reino Unido,ne,6.458,0.0,0
